app,date,campaign,os,installs,spend,cpi
auto,2019-02-21,RU,macos,0.000,0.000,0.000
auto,2019-02-21,RU_comm,android,0.000,0.000,0.000
auto,2019-02-21,SPB,android,15.000,1742.950,116.197
auto,2019-02-21,SPB,server,0.000,1254.660,1254.660
auto,2019-02-22,MSK_SPB,android,9.000,937.200,104.133
auto,2019-02-22,MSK_SPB,server,0.000,606.350,606.350
auto,2019-02-22,RU,android,287.000,22531.410,78.507
auto,2019-02-22,RU,server,0.000,18679.060,18679.060
auto,2019-02-22,RU,windows,0.000,757.200,757.200
auto,2019-02-22,RU_comm,android,0.000,0.000,0.000
auto,2019-02-22,SPB,android,8.000,787.210,98.401
auto,2019-02-22,SPB,server,0.000,49.700,49.700
auto,2019-02-23,MSK_SPB,android,9.000,800.930,88.992
auto,2019-02-23,RU,android,242.000,20245.370,83.659
auto,2019-02-23,RU,server,0.000,15470.760,15470.760
auto,2019-02-23,RU,windows,0.000,0.000,0.000
auto,2019-02-23,RU_comm,android,0.000,0.000,0.000
auto,2019-02-23,SPB,android,5.000,616.920,123.384
auto,2019-02-23,SPB,server,0.000,24.850,24.850
auto,2019-02-24,MSK_SPB,android,27.000,2495.100,92.411
auto,2019-02-24,MSK_SPB,server,0.000,1225.600,1225.600
auto,2019-02-24,MSK_SPB,windows,0.000,187.400,187.400
auto,2019-02-24,RU,android,620.000,52607.860,84.851
auto,2019-02-24,RU,server,0.000,49653.410,49653.410
auto,2019-02-24,RU,windows,0.000,0.000,0.000
auto,2019-02-24,RU_comm,android,0.000,0.000,0.000
auto,2019-02-24,SPB,android,15.000,1080.930,72.062
auto,2019-02-24,SPB,server,0.000,211.860,211.860
auto,2019-02-25,MSK_SPB,android,22.000,1818.370,82.653
auto,2019-02-25,MSK_SPB,server,0.000,811.780,811.780
auto,2019-02-25,RU,android,673.000,54764.730,81.374
auto,2019-02-25,RU,server,0.000,49063.050,49063.050
auto,2019-02-25,RU,windows,0.000,450.950,450.950
auto,2019-02-25,RU_comm,android,0.000,0.000,0.000
auto,2019-02-25,SPB,android,11.000,1239.030,112.639
auto,2019-02-25,SPB,server,0.000,502.090,502.090
auto,2019-02-26,MSK_SPB,android,16.000,1225.450,76.591
auto,2019-02-26,MSK_SPB,server,0.000,279.930,279.930
auto,2019-02-26,RU,android,411.000,32530.320,79.149
auto,2019-02-26,RU,server,0.000,28487.780,28487.780
auto,2019-02-26,RU,windows,0.000,0.000,0.000
auto,2019-02-26,RU_comm,android,0.000,0.000,0.000
auto,2019-02-26,SPB,android,2.000,510.230,255.115
auto,2019-02-27,MSK_SPB,android,32.000,2796.510,87.391
auto,2019-02-27,MSK_SPB,server,0.000,1980.240,1980.240
auto,2019-02-27,RU,android,411.000,38635.660,94.004
auto,2019-02-27,RU,server,0.000,36893.620,36893.620
auto,2019-02-27,RU,windows,0.000,400.480,400.480
auto,2019-02-27,RU,linux,0.000,0.000,0.000
auto,2019-02-27,RU_comm,android,0.000,0.000,0.000
auto,2019-02-27,SPB,android,11.000,1882.430,171.130
auto,2019-02-27,SPB,server,0.000,1494.630,1494.630
auto,2019-02-28,MSK_SPB,android,23.000,2119.640,92.158
auto,2019-02-28,MSK_SPB,server,0.000,406.710,406.710
auto,2019-02-28,RU,android,276.000,20630.710,74.749
auto,2019-02-28,RU,server,0.000,17753.940,17753.940
auto,2019-02-28,RU,windows,0.000,267.500,267.500
auto,2019-02-28,RU,linux,0.000,0.000,0.000
auto,2019-02-28,RU_comm,android,0.000,0.000,0.000
auto,2019-02-28,SPB,android,8.000,776.270,97.034
auto,2019-02-28,SPB,server,0.000,429.900,429.900
auto,2019-03-01,MSK_SPB,android,20.000,1482.600,74.130
auto,2019-03-01,MSK_SPB,server,0.000,404.050,404.050
auto,2019-03-01,RU,android,245.000,17184.710,70.142
auto,2019-03-01,RU,server,0.000,12888.650,12888.650
auto,2019-03-01,RU,windows,0.000,90.000,90.000
auto,2019-03-01,RU_comm,android,0.000,0.000,0.000
auto,2019-03-01,SPB,android,8.000,658.190,82.274
auto,2019-03-02,MSK_SPB,android,27.000,2206.610,81.726
auto,2019-03-02,MSK_SPB,server,0.000,873.010,873.010
auto,2019-03-02,RU,android,319.000,23825.440,74.688
auto,2019-03-02,RU,server,0.000,20056.310,20056.310
auto,2019-03-02,RU,windows,0.000,180.000,180.000
auto,2019-03-02,RU_comm,android,0.000,0.000,0.000
auto,2019-03-02,SPB,android,11.000,911.640,82.876
auto,2019-03-02,SPB,server,0.000,385.120,385.120
auto,2019-03-03,MSK_SPB,android,51.000,3528.460,69.185
auto,2019-03-03,MSK_SPB,server,0.000,1925.880,1925.880
auto,2019-03-03,RU,android,439.000,35418.600,80.680
auto,2019-03-03,RU,server,0.000,24105.260,24105.260
auto,2019-03-03,RU,windows,0.000,90.000,90.000
auto,2019-03-03,RU_comm,android,0.000,0.000,0.000
auto,2019-03-03,SPB,android,9.000,1312.090,145.788
auto,2019-03-03,SPB,server,0.000,642.120,642.120
auto,2019-03-04,MSK_SPB,android,20.000,1942.350,97.117
auto,2019-03-04,MSK_SPB,server,0.000,64.170,64.170
auto,2019-03-04,RU,android,242.000,16708.720,69.044
auto,2019-03-04,RU,server,0.000,12803.830,12803.830
auto,2019-03-04,RU,windows,0.000,90.000,90.000
auto,2019-03-04,RU_comm,android,0.000,0.000,0.000
auto,2019-03-04,SPB,android,6.000,351.770,58.628
auto,2019-03-05,MSK_SPB,android,17.000,1808.510,106.383
auto,2019-03-05,MSK_SPB,server,0.000,38.170,38.170
auto,2019-03-05,RU,android,273.000,16634.200,60.931
auto,2019-03-05,RU,server,0.000,11913.590,11913.590
auto,2019-03-05,RU,unknown,0.000,0.000,0.000
auto,2019-03-05,RU,windows,0.000,0.000,0.000
auto,2019-03-05,RU_comm,android,0.000,0.000,0.000
auto,2019-03-05,SPB,android,1.000,299.880,299.880
auto,2019-03-06,MSK_SPB,android,22.000,2077.060,94.412
auto,2019-03-06,MSK_SPB,server,0.000,792.600,792.600
auto,2019-03-06,RU,android,354.000,32668.030,92.283
auto,2019-03-06,RU,server,0.000,29077.830,29077.830
auto,2019-03-06,RU,windows,0.000,0.000,0.000
auto,2019-03-06,RU_comm,android,0.000,0.000,0.000
auto,2019-03-06,SPB,android,5.000,766.540,153.308
auto,2019-03-07,MSK_SPB,android,15.000,1782.740,118.849
auto,2019-03-07,MSK_SPB,server,0.000,1042.070,1042.070
auto,2019-03-07,RU,android,384.000,35925.690,93.556
auto,2019-03-07,RU,server,0.000,32917.470,32917.470
auto,2019-03-07,RU,windows,0.000,0.000,0.000
auto,2019-03-07,RU_comm,android,0.000,0.000,0.000
auto,2019-03-07,SPB,android,7.000,876.550,125.221
auto,2019-03-07,SPB,server,0.000,708.990,708.990
auto,2019-03-08,MSK_SPB,android,18.000,2076.660,115.370
auto,2019-03-08,MSK_SPB,server,0.000,72.210,72.210
auto,2019-03-08,RU,android,292.000,25444.320,87.138
auto,2019-03-08,RU,server,0.000,19164.400,19164.400
auto,2019-03-08,RU_comm,android,0.000,0.000,0.000
auto,2019-03-08,SPB,android,3.000,415.370,138.457
auto,2019-03-08,SPB,server,0.000,10.320,10.320
auto,2019-03-09,MSK_SPB,android,23.000,2719.620,118.244
auto,2019-03-09,MSK_SPB,server,0.000,1562.790,1562.790
auto,2019-03-09,RU,android,309.000,25206.330,81.574
auto,2019-03-09,RU,server,0.000,21822.660,21822.660
auto,2019-03-09,RU,windows,0.000,181.960,181.960
auto,2019-03-09,RU_comm,android,0.000,0.000,0.000
auto,2019-03-09,SPB,android,4.000,378.400,94.600
auto,2019-03-09,SPB,server,0.000,152.260,152.260
auto,2019-03-10,MSK_SPB,android,17.000,1475.440,86.791
auto,2019-03-10,RU,android,314.000,22551.960,71.822
auto,2019-03-10,RU,server,0.000,15754.300,15754.300
auto,2019-03-10,RU,windows,0.000,0.000,0.000
auto,2019-03-10,RU_comm,android,0.000,0.000,0.000
auto,2019-03-10,SPB,android,0.000,117.160,117.160
auto,2019-03-11,MSK_SPB,android,8.000,694.560,86.820
auto,2019-03-11,MSK_SPB,server,0.000,65.310,65.310
auto,2019-03-11,RU,android,157.000,10552.850,67.216
auto,2019-03-11,RU,server,0.000,6498.100,6498.100
auto,2019-03-11,RU_comm,android,0.000,0.000,0.000
auto,2019-03-11,SPB,android,1.000,194.100,194.100
auto,2019-02-11,MSK_SPB,ios,2.000,132.420,66.210
auto,2019-02-11,RU,ios,21.000,1632.380,77.732
auto,2019-02-11,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-11,SPB,ios,0.000,35.670,35.670
auto,2019-02-11,SPB,windows,0.000,0.000,0.000
auto,2019-02-12,MSK_SPB,ios,1.000,60.600,60.600
auto,2019-02-12,RU,ios,13.000,1220.840,93.911
auto,2019-02-12,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-12,SPB,ios,0.000,28.700,28.700
auto,2019-02-13,MSK_SPB,ios,0.000,143.890,143.890
auto,2019-02-13,RU,ios,14.000,2938.440,209.889
auto,2019-02-13,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-13,SPB,ios,0.000,59.280,59.280
auto,2019-02-13,SPB,server,0.000,5.670,5.670
auto,2019-02-14,MSK_SPB,ios,5.000,380.010,76.002
auto,2019-02-14,RU,ios,39.000,7347.600,188.400
auto,2019-02-14,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-14,SPB,ios,1.000,104.130,104.130
auto,2019-02-15,MSK_SPB,ios,6.000,592.250,98.708
auto,2019-02-15,RU,ios,50.000,8336.600,166.732
auto,2019-02-15,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-15,SPB,ios,1.000,122.100,122.100
auto,2019-02-16,MSK_SPB,ios,2.000,222.850,111.425
auto,2019-02-16,RU,ios,24.000,2775.640,115.652
auto,2019-02-16,RU,windows,0.000,0.000,0.000
auto,2019-02-16,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-16,SPB,ios,2.000,157.280,78.640
auto,2019-02-17,MSK_SPB,ios,2.000,417.670,208.835
auto,2019-02-17,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-17,SPB,ios,3.000,180.860,60.287
auto,2019-02-18,MSK_SPB,ios,7.000,448.440,64.063
auto,2019-02-18,RU,ios,50.000,7705.940,154.119
auto,2019-02-18,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-18,SPB,ios,1.000,125.580,125.580
auto,2019-02-19,MSK_SPB,ios,0.000,163.240,163.240
auto,2019-02-19,RU,ios,33.000,4343.800,131.630
auto,2019-02-19,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-19,SPB,ios,0.000,58.630,58.630
auto,2019-02-20,MSK_SPB,ios,2.000,118.100,59.050
auto,2019-02-20,RU,ios,16.000,1499.710,93.732
auto,2019-02-20,RU,unknown,0.000,0.000,0.000
auto,2019-02-20,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-20,SPB,ios,0.000,45.410,45.410
auto,2019-02-21,MSK_SPB,ios,1.000,47.200,47.200
auto,2019-02-21,RU,ios,25.000,3715.850,148.634
auto,2019-02-21,RU,linux,0.000,0.000,0.000
auto,2019-02-21,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-21,SPB,ios,0.000,0.250,0.250
auto,2019-02-22,MSK_SPB,ios,0.000,11.530,11.530
auto,2019-02-22,RU,ios,24.000,1833.370,76.390
auto,2019-02-22,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-22,SPB,ios,0.000,0.000,0.000
auto,2019-02-23,MSK_SPB,ios,0.000,11.300,11.300
auto,2019-02-23,RU,ios,16.000,1143.530,71.471
auto,2019-02-23,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-23,SPB,ios,0.000,0.000,0.000
auto,2019-02-24,MSK_SPB,ios,1.000,22.230,22.230
auto,2019-02-24,RU,ios,18.000,1500.230,83.346
auto,2019-02-24,RU,macos,0.000,0.000,0.000
auto,2019-02-24,RU,linux,0.000,0.000,0.000
auto,2019-02-24,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-24,SPB,ios,0.000,0.000,0.000
auto,2019-02-25,MSK_SPB,ios,1.000,22.580,22.580
auto,2019-02-25,RU,ios,24.000,1831.000,76.292
auto,2019-02-25,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-25,SPB,ios,0.000,0.000,0.000
auto,2019-02-26,MSK_SPB,ios,0.000,35.080,35.080
auto,2019-02-26,RU,ios,19.000,1821.730,95.881
auto,2019-02-26,RU,linux,0.000,0.000,0.000
auto,2019-02-26,RU,unknown,0.000,0.000,0.000
auto,2019-02-26,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-26,SPB,ios,0.000,0.000,0.000
auto,2019-02-27,MSK_SPB,ios,0.000,23.510,23.510
auto,2019-02-27,RU,ios,18.000,1463.850,81.325
auto,2019-02-27,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-27,SPB,ios,0.000,0.000,0.000
auto,2019-02-28,MSK_SPB,ios,0.000,17.900,17.900
auto,2019-02-28,RU,ios,26.000,1972.480,75.865
auto,2019-02-28,RU_comm,ios,0.000,0.000,0.000
auto,2019-02-28,SPB,ios,0.000,0.000,0.000
auto,2019-03-01,MSK_SPB,ios,0.000,28.010,28.010
auto,2019-03-01,RU,ios,17.000,1530.910,90.054
auto,2019-03-01,RU,macos,0.000,0.000,0.000
auto,2019-03-01,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-01,SPB,ios,0.000,0.000,0.000
auto,2019-03-02,MSK_SPB,ios,0.000,27.110,27.110
auto,2019-03-02,RU,ios,16.000,1198.080,74.880
auto,2019-03-02,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-02,SPB,ios,0.000,0.000,0.000
auto,2019-03-03,MSK_SPB,ios,0.000,14.940,14.940
auto,2019-03-03,RU,ios,22.000,1668.120,75.824
auto,2019-03-03,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-03,SPB,ios,0.000,0.000,0.000
auto,2019-03-04,MSK_SPB,ios,0.000,19.820,19.820
auto,2019-03-04,RU,ios,27.000,1969.180,72.933
auto,2019-03-04,RU,unknown,0.000,0.000,0.000
auto,2019-03-04,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-04,SPB,ios,0.000,0.000,0.000
auto,2019-03-05,MSK_SPB,ios,1.000,27.350,27.350
auto,2019-03-05,RU,ios,25.000,1451.000,58.040
auto,2019-03-05,RU,macos,0.000,0.000,0.000
auto,2019-03-05,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-05,SPB,ios,0.000,0.000,0.000
auto,2019-03-06,MSK_SPB,ios,0.000,22.390,22.390
auto,2019-03-06,RU,ios,21.000,1350.770,64.322
auto,2019-03-06,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-06,SPB,ios,0.000,0.000,0.000
auto,2019-03-07,MSK_SPB,ios,0.000,44.170,44.170
auto,2019-03-07,RU,ios,19.000,1699.490,89.447
auto,2019-03-07,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-07,SPB,ios,0.000,0.000,0.000
auto,2019-03-08,MSK_SPB,ios,0.000,42.310,42.310
auto,2019-03-08,RU,ios,18.000,1480.810,82.267
auto,2019-03-08,RU,windows,0.000,0.000,0.000
auto,2019-03-08,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-08,SPB,ios,0.000,0.000,0.000
auto,2019-03-09,MSK_SPB,ios,0.000,43.580,43.580
auto,2019-03-09,RU,ios,33.000,2012.020,60.970
auto,2019-03-09,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-09,SPB,ios,0.000,0.000,0.000
auto,2019-03-10,MSK_SPB,ios,2.000,29.720,14.860
auto,2019-03-10,RU,ios,34.000,2317.760,68.169
auto,2019-03-10,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-10,SPB,ios,0.000,0.000,0.000
auto,2019-03-11,MSK_SPB,ios,1.000,7.430,7.430
auto,2019-03-11,RU,ios,7.000,743.390,106.199
auto,2019-03-11,RU_comm,ios,0.000,0.000,0.000
auto,2019-03-11,SPB,ios,0.000,0.000,0.000
